DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR6395721,SAMN08183156,CFSAN055150,USA,2015,,4540,999,"fosX, lin",,Black Bear Large Intestine (Ursus americanus )
ERR1433012,SAMEA4019644,,Denmark,2013,,4541,193,"abc-f, fosX, lin",,
SRR6745675,SAMN08558132,18B00923-9,USA,2018,,4542,37,"abc-f, fosX, lin",,Milk-raw bovine
ERR1599758,SAMEA4398534,SSI_AA238,Denmark,2013,,4543,8,"abc-f, fosX, lin",Homo sapiens,
SRR1744053,SAMN03265692,FDA880638 Sub 103,USA,2014,,4544,5,"fosX, lin",,Environmental sample
SRR6238440,SAMN07949744,PNUSAL003503,USA,,,4545,5,"fosX, lin",,
ERR1432965,SAMEA4019597,,Denmark,2003,,4546,7,"fosX, lin",,
SRR3474622,SAMN04914024,OSF048807,USA,2015,,4547,7,"fosX, lin",,Environmental sponge
ERR2523664,SAMEA4588218,20103462,Denmark,2010,,4548,451,"abc-f, fosX, lin",Homo sapiens,
SRR5958544,SAMN07535969,PNUSAL003276,USA,2017,,4549,35,"abc-f, fosX, lin",,Blood
ERR1230365,SAMEA3857805,,,,,4550,3,"fosX, lin",,
ERR2519516,SAMEA4584587,,Austria,2014,,4551,20,"abc-f, fosX, lin",Homo sapiens,
ERR1276252,SAMEA3876161,CLIP 2015/00274,,,,4552,4,"fosX, lin",,
SRR1688445,SAMN02998026,VA-WGS-00328,USA,2012,,4553,5,"fosX, lin",,Broom
SRR6896671,SAMN08795539,PNUSAL003887,USA,2018,,4554,29,"abc-f, fosX, lin",,Blood
SRR3996792,SAMN05509068,FSIS1607305,USA,2016,,4555,5,"fosX, lin",,Environmental: food-contact surface
SRR5167786,SAMN04277002,CFSAN042079,Canada,2008,,4556,120,"abc-f, fosX, lin",Homo sapiens,Blood
SRR1816378,SAMN03358305,BCW_4766,,,,4557,87,"fosX, lin",,
SRR3372252,SAMN04575382,ARS-CC9278,USA,2014,,4558,376,"abc-f, fosX, lin",,Milk filter
SRR6745676,SAMN08556621,13B02883A-1,USA,2013,,4559,37,"abc-f, fosX, lin",,Fish-latis herring in oil
ERR2531770,SAMEA4598907,,Slovenia,2010,,4560,7,"fosX, lin",Homo sapiens,
SRR5764956,SAMN05410570,Lm11,Canada,2009,,4561,7,"fosX, lin",,Food processing environment
ERR2520937,SAMEA4585770,,Bulgaria,2010,,4562,5,"fosX, lin",Homo sapiens,
SRR1640123,SAMN03160814,HPB5767,Canada,2009,,4563,59,"fosX, lin, tet(M)",,Food
ERR2520624,SAMEA4585558,,Belgium,2012,,4564,6,"fosX, lin",Homo sapiens,
ERR2519479,SAMEA4584550,,Austria,2014,,4565,1602,"abc-f, fosX, lin",Homo sapiens,
