DNASource,BioSample,Identifer,Country,Year,Serovar,cgMLST,ST,ResistGene,Host,SampleSource
SRR3112601,SAMN04331102,LiDS0047,Canada,2002,,1,321,"fosX, lin",Homo sapiens,Fluid - Cerebral spinal Fluid; Clinical; Human (Homo Sapiens)
SRR5764985,SAMN05410651,Lm102,Canada,2009,,1,321,"fosX, lin",,Food
SRR3173580,SAMN04146069,FLAG-82946,USA,2008,1,1,321,"fosX, lin",,Smoked salmon
SRR1825868,SAMN03354359,CFSAN004334,USA,2000,1/2a,1,321,"fosX, lin",,Beef/pork franks (8/1/00)
SRR1619199,SAMN03093511,PNUSAL001055,USA,2014,1/2a,1,321,"fosX, lin",,Blood
SRR2047264,SAMN03755208,PNUSAL001428,USA,2015,1/2a,1,321,"fosX, lin",,Blood
SRR1141130,SAMN02569917,CFSAN007580,USA,2013,,1,321,"fosX, lin",,Swab
SRR1141162,SAMN02569933,CFSAN007915,USA,2013,,1,321,"fosX, lin",,Swab
SRR1141156,SAMN02569935,CFSAN007917,USA,2013,,1,321,"fosX, lin",,Swab
SRR1284712,SAMN02569956,CFSAN007938,USA,2013,,1,321,"fosX, lin",,Environmental swab
SRR1195646,SAMN02570902,CFSAN008091,USA,2013,,1,321,"fosX, lin",,Environmental swab
SRR1505022,SAMN02900387,CFSAN011039,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505034,SAMN02900388,CFSAN011040,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505060,SAMN02900389,CFSAN011041,USA,2000,,1,321,"fosX, lin",,Environmental swab
SRR1505061,SAMN02900391,CFSAN011043,USA,2007,,1,321,"fosX, lin",,Smoked salmon - cream cheese base
SRR1505057,SAMN02900399,CFSAN011051,USA,2007,,1,321,"fosX, lin",,"Salmon, hot smoked, pacific spp."
SRR1505052,SAMN02900416,CFSAN011068,USA,2008,,1,321,"fosX, lin",,Environmental swab
SRR1505089,SAMN02900418,CFSAN011070,USA,2008,,1,321,"fosX, lin",,Environmental swab
SRR1505053,SAMN02900423,CFSAN011075,USA,2010,,1,321,"fosX, lin",,Environmental swab
SRR1505023,SAMN02900429,CFSAN011081,USA,2011,,1,321,"fosX, lin",,Environmental swab
SRR1505047,SAMN02900434,CFSAN011086,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505049,SAMN02900435,CFSAN011087,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505069,SAMN02900437,CFSAN011089,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505024,SAMN02900439,CFSAN011091,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1505015,SAMN02900440,CFSAN011092,USA,2012,,1,321,"fosX, lin",,Environmental swab
SRR1509603,SAMN02870505,CFSAN019514,USA,2014,,1,321,"fosX, lin",,Environmental: non-food-contact surface
SRR1509610,SAMN02870506,CFSAN019515,USA,2014,,1,321,"fosX, lin",,Environmental: non-food-contact surface
SRR2924567,SAMN03285279,CFSAN028813,USA,2012,,1,321,"fosX, lin",,RTE deli meats - turkey mesquite
SRR2924568,SAMN03285280,CFSAN028814,USA,2012,,1,321,"fosX, lin",,RTE deli meats - turkey mesquite
SRR3147453,SAMN04362474,CFSAN038695,USA,2015,,1,321,"fosX, lin",,Taco meat
SRR5195801,SAMN06213900,CFSAN059312,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR5195794,SAMN06213899,CFSAN059313,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR5195796,SAMN06213898,CFSAN059314,USA,2016,,1,321,"fosX, lin",,Canadian style bacon
SRR6377100,SAMN08108870,CFSAN072257,USA,2017,,1,321,"fosX, lin",,Diced Ham Sold Frozen
SRR6377094,SAMN08108869,CFSAN072258,USA,2017,,1,321,"fosX, lin",,Diced Ham Sold Frozen
SRR5366611,SAMN06563856,FDA0932629-083-006,USA,2017,,1,321,"fosX, lin",,Environmental swab
SRR5019800,SAMN05992373,FDA0952968-124-037,USA,2016,,1,321,"fosX, lin",,Environmental swab
SRR6796394,SAMN08628471,FDA1036611-002-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR6796393,SAMN08628472,FDA1036611-004-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR6796390,SAMN08628470,FDA1036611-023-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR7196738,SAMN09240653,FDA1046387-064-001,USA,2018,,1,321,"fosX, lin",,Environmental swab
SRR7196733,SAMN09239926,FDA1046387-064-006,USA,2018,,1,321,"fosX, lin",,
SRR7196731,SAMN09238983,FDA1046387-067-001,USA,2018,,1,321,"fosX, lin",,
SRR7196762,SAMN09238258,FDA1046387-067-004,USA,2018,,1,321,"fosX, lin",,
SRR7193929,SAMN09237934,FDA1046387-068-001,USA,2018,,1,321,"fosX, lin",,
SRR7196758,SAMN09239838,FDA1046387-068-004,USA,2018,,1,321,"fosX, lin",,
SRR7196753,SAMN09239837,FDA1046387-069-001,USA,2018,,1,321,"fosX, lin",,
SRR7196737,SAMN09240240,FDA1046387-069-004,USA,2018,,1,321,"fosX, lin",,
SRR7196764,SAMN09239978,FDA1046387-070-006,USA,2018,,1,321,"fosX, lin",,
SRR6073364,SAMN02922025,FDA704496-43,USA,2011,,1,321,"fosX, lin",,Swab
SRR6869975,SAMN02922091,FDA805714 41-1,USA,2013,,1,321,"fosX, lin",,Swab
SRR2029598,SAMN03654431,FDA864640-15-3,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029586,SAMN03654417,FDA864640-16,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR1744017,SAMN03274502,FDA864640-18-1,USA,2014,,1,321,"fosX, lin",,Environmental swab
SRR2029599,SAMN03654418,FDA864640-19,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029587,SAMN03654419,FDA864640-20,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029601,SAMN03654420,FDA864640-21,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029606,SAMN03654421,FDA864640-22,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029588,SAMN03654422,FDA864640-23,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029607,SAMN03654423,FDA864640-24,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029608,SAMN03654424,FDA864640-25,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029585,SAMN03654425,FDA864640-26,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029602,SAMN03654426,FDA864640-27,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029603,SAMN03654427,FDA864640-32,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029604,SAMN03654428,FDA864640-34,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR2029589,SAMN03654429,FDA864640-37,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR1744043,SAMN03274501,FDA864640-4-1,USA,2014,,1,321,"fosX, lin",,Environmental swab
SRR2029595,SAMN03654414,FDA864640-6,USA,2014,,1,321,"fosX, lin",,Environmental swabs
SRR1821283,SAMN03372138,FDA879056-1-1,USA,2015,,1,321,"fosX, lin",,Salmon fillet
SRR2015357,SAMN03495906,FDA896004-19-1,USA,2015,,1,321,"fosX, lin",,Environmental swabs
SRR2015676,SAMN03495907,FDA896004-41-1,USA,2015,,1,321,"fosX, lin",,Environmental swabs
SRR2015680,SAMN03495905,FDA896004-6-1,USA,2015,,1,321,"fosX, lin",,Environmental swabs
SRR2992847,SAMN04331800,FDA933001-170-16,USA,2015,,1,321,"fosX, lin",,Environmental swab
SRR6679989,SAMN07158758,FDA968225-035-002,USA,2017,,1,321,"fosX, lin",,Environmental swab
SRR6679985,SAMN07158757,FDA968225-062-003,USA,2017,,1,321,"fosX, lin",,Environmental swab
SRR5278339,SAMN06333858,FDA970100-092-001,USA,2017,,1,321,"fosX, lin",,Environmental swabs
SRR6179821,SAMN07767494,FLAG-11710,USA,2001,,1,321,"fosX, lin",,Homerun sandwich
SRR6179823,SAMN07767526,FLAG-11712,USA,2001,,1,321,"fosX, lin",,Homerun sandwich
SRR2584020,SAMN03736769,FLAG-11939,USA,2009,,1,321,"fosX, lin",,Environmental swab
SRR2584345,SAMN03736766,FLAG-12396,USA,2011,,1,321,"fosX, lin",,Fish
SRR6114384,SAMN07716554,FLAG-19974,USA,2001,,1,321,"fosX, lin",,Turkey BLT sandwich
SRR6236452,SAMN07843521,FLAG-5945,USA,1999,,1,321,"fosX, lin",,Ground beef
SRR2070866,SAMN03782069,FSIS1501195,USA,2015,,1,321,"fosX, lin",,RTE Product
SRR4300989,SAMN05833043,FSIS1607776,USA,2011,,1,321,"fosX, lin",,Environmental: non-food-contact surface
SRR6509132,SAMN08391409,PNUSAL003748,USA,2017,,1,321,"fosX, lin",,DICED HAM Sold FROZEN
SRR6509131,SAMN08391405,PNUSAL003749,USA,2017,,1,321,"fosX, lin",,DICED HAM Sold FROZEN
SRR1271389,SAMN02744523,PNUSAL000672,USA,,1/2a,2,378,"abc-f, fosX, lin",,Blood
SRR5644437,SAMN07187535,PNUSAL003047,USA,2017,,2,378,"abc-f, fosX, lin",,Blood
SRR1141132,SAMN02569919,CFSAN007582,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141137,SAMN02569920,CFSAN007583,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141136,SAMN02569921,CFSAN007584,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141238,SAMN02569922,CFSAN007585,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141239,SAMN02569927,CFSAN007909,USA,2013,,3,321,"fosX, lin",,envinonmental sponges
SRR1141154,SAMN02569928,CFSAN007910,USA,2013,,3,321,"fosX, lin",,envinonmental sponges
SRR1141165,SAMN02569929,CFSAN007911,USA,2013,,3,321,"fosX, lin",,envinonmental sponges
SRR1141164,SAMN02569932,CFSAN007914,USA,2013,,3,321,"fosX, lin",,envinonmental sponges
SRR1141133,SAMN02569940,CFSAN007922,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141163,SAMN02569941,CFSAN007923,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141141,SAMN02569942,CFSAN007924,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141155,SAMN02569944,CFSAN007926,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141147,SAMN02569945,CFSAN007927,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141159,SAMN02569946,CFSAN007928,USA,2013,,3,321,"fosX, lin",,Swab
SRR1141176,SAMN02569947,CFSAN007929,USA,2013,,3,321,"fosX, lin",,Swab
SRR5489104,SAMN02922075,FDA645317-51,USA,2011,,3,321,"fosX, lin",,Swab
SRR5489096,SAMN02922026,FDA691189-15,USA,2011,,3,321,"fosX, lin",,Swab
SRR5489093,SAMN02922027,FDA691189-33,USA,2011,,3,321,"fosX, lin",,Swab
SRR5489097,SAMN02922028,FDA691189-73,USA,2011,,3,321,"fosX, lin",,Swab
SRR3985721,SAMN05425836,FDA930241-26,USA,2016,,3,321,"fosX, lin",,Environmental swab
SRR3985787,SAMN05425837,FDA930241-27,USA,2016,,3,321,"fosX, lin",,Environmental swab
SRR4000024,SAMN05425839,FDA930241-31,USA,2016,,3,321,"fosX, lin",,Environmental swab
SRR4000023,SAMN05425840,FDA930241-32,USA,2016,,3,321,"fosX, lin",,Environmental swab
SRR4000022,SAMN05425841,FDA930241-34,USA,2016,,3,321,"fosX, lin",,Environmental swab
SRR3027736,SAMN04327576,FDA932040-10,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027738,SAMN04327591,FDA932040-13,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027739,SAMN04327594,FDA932040-14,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027740,SAMN04327605,FDA932040-15,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027741,SAMN04327607,FDA932040-16,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027742,SAMN04327553,FDA932040-17,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027729,SAMN04327649,FDA932040-2,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027743,SAMN04327557,FDA932040-20,USA,2015,,3,321,"fosX, lin",,Environmental
SRR5639019,SAMN04327557,FDA932040-20,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027744,SAMN04327549,FDA932040-21,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027730,SAMN04327650,FDA932040-3,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3825229,SAMN04327651,FDA932040-4,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027747,SAMN04327554,FDA932040-49,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027732,SAMN04327555,FDA932040-6,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027733,SAMN04327564,FDA932040-7,USA,2015,,3,321,"fosX, lin",,Environmental
SRR3027748,SAMN04327560,FDA932040-94,USA,2015,,3,321,"fosX, lin",,Environmental
SRR4039745,SAMN05589140,FDA942262-22-1,USA,2016,,3,321,"fosX, lin",,Environmental swabs
SRR5452346,SAMN06629392,FDA973983-S014-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452347,SAMN06629391,FDA973983-S024-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452354,SAMN06629390,FDA973983-S025-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452350,SAMN06629389,FDA973983-S026-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452352,SAMN06629388,FDA973983-S035-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452353,SAMN06629386,FDA973983-S037-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452351,SAMN06629385,FDA973983-S038-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452355,SAMN06629384,FDA973983-S039-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452349,SAMN06629383,FDA973983-S040-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452348,SAMN06629382,FDA973983-S043-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452359,SAMN06629376,FDA973983-S063-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452360,SAMN06629375,FDA973983-S069-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452669,SAMN06629374,FDA973983-S070-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452642,SAMN06629373,FDA973983-S071-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452658,SAMN06629372,FDA973983-S072-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452668,SAMN06629371,FDA973983-S073-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452632,SAMN06629370,FDA973983-S074-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452630,SAMN06629369,FDA973983-S075-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452631,SAMN06629368,FDA973983-S077-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452636,SAMN06629364,FDA973983-S080-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452649,SAMN06629363,FDA973983-S081-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452657,SAMN06629349,FDA973983-S088-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452648,SAMN06629348,FDA973983-S091-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5452655,SAMN06629345,FDA973983-S098-001,USA,2017,,3,321,"fosX, lin",,Environmental swabs
SRR5650615,SAMN07199487,FDA987101-S011-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5649916,SAMN07199490,FDA987101-S014-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5649667,SAMN07199488,FDA987101-S022-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5650008,SAMN07199484,FDA987101-S023-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5649770,SAMN07199483,FDA987101-S024-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5649831,SAMN07199482,FDA987101-S025-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5649918,SAMN07199481,FDA987101-S026-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5648750,SAMN07199480,FDA987101-S069-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR5648498,SAMN07199479,FDA987101-S070-001,USA,2017,,3,321,"fosX, lin",,Environmental swab
SRR1636583,SAMN03140285,NYaG_14B10302-3,USA,2014,,3,321,"fosX, lin",,Smoked Fish
SRR2047440,SAMN03755379,2015L-6212,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047392,SAMN03755242,2015L-6213,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047425,SAMN03755376,2015L-6214,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2048046,SAMN03755575,2015L-6219,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047565,SAMN03755405,2015L-6221,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2047249,SAMN03754730,2015L-6222,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047563,SAMN03755403,2015L-6223,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047409,SAMN03755307,2015L-6224,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2047542,SAMN03755398,2015L-6225,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047572,SAMN03755411,2015L-6226,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047400,SAMN03755267,2015L-6227,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2047417,SAMN03755369,2015L-6228,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047579,SAMN03755550,2015L-6229,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047590,SAMN03755552,2015L-6230,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047412,SAMN03755348,2015L-6231,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047280,SAMN03755223,2015L-6232,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047569,SAMN03755408,2015L-6233,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047381,SAMN03755237,2015L-6234,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047517,SAMN03755396,2015L-6235,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047421,SAMN03755372,2015L-6236,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2047401,SAMN03755288,2015L-6237,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047580,SAMN03755551,2015L-6239,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047515,SAMN03755394,2015L-6241,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047548,SAMN03755401,2015L-6242,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047606,SAMN03755555,2015L-6243,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047458,SAMN03755387,2015L-6245,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047273,SAMN03755216,2015L-6246,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047549,SAMN03755402,2015L-6251,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047410,SAMN03755308,2015L-6252,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047574,SAMN03755413,2015L-6253,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047619,SAMN03755559,2015L-6254,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047393,SAMN03755243,2015L-6255,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047394,SAMN03755244,2015L-6256,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047374,SAMN03755236,2015L-6257,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047286,SAMN03755228,2015L-6260,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047277,SAMN03755220,2015L-6262,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047373,SAMN03755235,2015L-6263,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR2047424,SAMN03755375,2015L-6264,USA,2015,,4,5,"fosX, lin",,Dairy_Ice cream
SRR1917503,SAMN03386935,CFSAN029791,USA,2015,,4,5,"fosX, lin",,Distribution center
SRR1917468,SAMN03386936,CFSAN029792,USA,2015,,4,5,"fosX, lin",,Distribution center
SRR1917440,SAMN03386937,CFSAN029793,USA,2015,,4,5,"fosX, lin",,Distribution center
SRR1917462,SAMN03386956,CFSAN029812,USA,2015,,4,5,"fosX, lin",,Distribution center
SRR1922575,SAMN03400206,CFSAN030112,USA,2015,,4,5,"fosX, lin",,Food
SRR1922579,SAMN03400210,CFSAN030116,USA,2015,,4,5,"fosX, lin",,Food
SRR1973644,SAMN03458291,CFSAN030795,USA,2015,,4,5,"fosX, lin",,Product
SRR1973670,SAMN03458294,CFSAN030798,USA,2015,,4,5,"fosX, lin",,Product
SRR1973768,SAMN03458295,CFSAN030799,USA,2015,,4,5,"fosX, lin",,Product
SRR1974118,SAMN03458299,CFSAN030803,USA,2015,,4,5,"fosX, lin",,Product
SRR1974082,SAMN03458301,CFSAN030805,USA,2015,,4,5,"fosX, lin",,Product
SRR2010694,SAMN03573233,CFSAN032531,USA,2015,,4,5,"fosX, lin",,Environmental swab
SRR2054249,SAMN03703770,CFSAN033562,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054183,SAMN03703771,CFSAN033563,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054277,SAMN03703772,CFSAN033564,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054136,SAMN03703773,CFSAN033565,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054281,SAMN03703774,CFSAN033566,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053314,SAMN03703776,CFSAN033568,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054231,SAMN03703777,CFSAN033569,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053335,SAMN03703779,CFSAN033571,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053329,SAMN03703781,CFSAN033573,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053342,SAMN03703782,CFSAN033574,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054261,SAMN03703783,CFSAN033575,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054168,SAMN03703784,CFSAN033576,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054250,SAMN03703785,CFSAN033577,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054178,SAMN03703786,CFSAN033578,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054129,SAMN03703787,CFSAN033579,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053352,SAMN03703789,CFSAN033581,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054272,SAMN03703790,CFSAN033582,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054256,SAMN03703791,CFSAN033583,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054209,SAMN03703792,CFSAN033584,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054251,SAMN03703793,CFSAN033585,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2054189,SAMN03703794,CFSAN033586,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2053357,SAMN03703795,CFSAN033587,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076004,SAMN03770152,CFSAN034236,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2075992,SAMN03770155,CFSAN034239,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2075987,SAMN03770156,CFSAN034240,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076046,SAMN03770157,CFSAN034241,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2075993,SAMN03770158,CFSAN034242,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076017,SAMN03770161,CFSAN034245,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076005,SAMN03770162,CFSAN034246,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076006,SAMN03770163,CFSAN034247,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076036,SAMN03770164,CFSAN034248,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076026,SAMN03770165,CFSAN034249,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076027,SAMN03770166,CFSAN034250,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076022,SAMN03770167,CFSAN034251,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076042,SAMN03770168,CFSAN034252,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2075995,SAMN03770169,CFSAN034253,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2076028,SAMN03770170,CFSAN034254,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2078888,SAMN03770173,CFSAN034257,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2078918,SAMN03770174,CFSAN034258,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2078903,SAMN03770176,CFSAN034260,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2078905,SAMN03770185,CFSAN034269,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR2078914,SAMN03770188,CFSAN034272,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR5676323,SAMN06242506,MOD1-LS1183,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR5676319,SAMN06242494,MOD1-LS1207,USA,2015,,4,5,"fosX, lin",,Ice cream
SRR1263957,SAMN02737454,PNUSAL000566,USA,,,4,5,"fosX, lin",,
SRR1193828,SAMN02689017,PNUSAL000593,USA,,,4,5,"fosX, lin",,
SRR1745441,SAMN03275457,PNUSAL001200,USA,,,4,5,"fosX, lin",,
SRR1975179,SAMN03483404,PNUSAL001324,USA,,,4,5,"fosX, lin",,
SRR2003531,SAMN03487725,TX-ACF1500599,USA,2015,,4,5,"fosX, lin",,Frozen dessert
SRR2003528,SAMN03487721,TX-ACF1500604,USA,2015,,4,5,"fosX, lin",,Frozen dessert
SRR1745448,SAMN03252946,PNUSAL001207,USA,2014,1/2a,5,1038,"abc-f, fosX, lin",,"Blood, NOS"
SRR1745474,SAMN03272817,PNUSAL001241,USA,2014,1/2a,5,1038,"abc-f, fosX, lin",,"Blood, NOS"
SRR2994642,SAMN04335669,PNUSAL001911,USA,2015,1/2a,5,1038,"fosX, lin",,"Blood, NOS"
SRR3123256,SAMN04335669,PNUSAL001911,USA,2015,1/2a,5,1038,"fosX, lin",,"Blood, NOS"
SRR1793275,SAMN03276144,FDA850136-001,USA,2014,,5,1038,"abc-f, fosX, lin",,Environmental swab
SRR1793274,SAMN03276146,FDA850136-013,USA,2014,,5,1038,"abc-f, fosX, lin",,Environmental swab
SRR1793276,SAMN03276147,FDA850136-019,USA,2014,,5,1038,"abc-f, fosX, lin",,Environmental swab
SRR1793277,SAMN03276148,FDA850136-020,USA,2014,,5,1038,"abc-f, fosX, lin",,Environmental swab
SRR1793278,SAMN03276149,FDA850136-021,USA,2014,,5,1038,"abc-f, fosX, lin",,Environmental swab
